,LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
0,0.012195,0.0,0.0,0.0,0.023599,0.0,0.0,0.346154,0.0,0.0,0.0,0.462366,0.002941,0.0,0.0,0.007194,0.0,0.017227,0.016502,4.9e-05,0.001802,0.001489,0.52381,4.9e-05,0.000723,0.484536,0.0,0.0,0.004065,0.416667,0.001259,0.002455,0.003215,0.044118,0.0,0.654247,0.004032,1
1,0.018293,0.0,0.0,0.025,0.0059,0.0,0.0,0.211538,0.0,0.0,0.0,0.462366,0.0,0.0,0.0,0.01199,0.111111,0.013879,0.077839,0.000685,0.005405,0.009926,0.166667,0.000685,0.005468,0.484536,0.0,0.0,0.0,0.1875,0.007557,0.012275,0.006431,0.117647,0.013245,0.370777,0.012097,1
2,0.231707,0.201258,0.153846,0.0625,0.20649,0.221311,0.170213,0.25,0.189655,0.14,0.096774,0.344086,0.182353,0.413793,0.71,0.235012,0.111111,0.179383,0.314336,0.047311,0.142342,0.17866,0.02381,0.047311,0.142819,0.71134,0.246154,0.221311,0.186992,0.125,0.183879,0.175941,0.176849,0.411765,0.276821,0.582511,0.205645,1
3,0.006098,0.025157,0.192308,0.0,0.035398,0.032787,0.021277,0.115385,0.034483,0.0,0.032258,0.731183,0.044118,0.068966,0.67,0.083933,0.0,0.172967,0.087418,0.004606,0.043243,0.058065,0.166667,0.004606,0.042449,0.742268,0.030769,0.032787,0.052846,0.083333,0.057935,0.05892,0.106109,0.220588,0.078146,0.31475,0.068548,0
4,0.054878,0.075472,0.153846,0.175,0.064897,0.098361,0.06383,0.307692,0.103448,0.0,0.080645,0.731183,0.073529,0.103448,0.43,0.05036,0.333333,0.098863,0.091846,0.003096,0.027027,0.040199,0.142857,0.003096,0.026736,0.484536,0.092308,0.098361,0.077236,0.1875,0.031486,0.046645,0.051447,0.205882,0.084768,0.794383,0.068548,1
5,0.079268,0.037736,0.192308,0.15,0.047198,0.04918,0.031915,0.192308,0.051724,0.0,0.064516,1.0,0.047059,0.137931,1.0,0.045564,0.222222,0.110162,0.095951,0.003649,0.030631,0.047146,0.142857,0.003649,0.030605,1.0,0.046154,0.04918,0.052846,0.104167,0.042821,0.050736,0.054662,0.161765,0.076821,0.734464,0.060484,1
6,0.006098,0.012579,0.0,0.0,0.0,0.016393,0.010638,0.557692,0.017241,0.0,0.0,0.27957,0.011765,0.0,0.0,0.007194,0.055556,0.018029,0.095066,0.001087,0.009009,0.014392,0.142857,0.001087,0.007884,0.309278,0.015385,0.016393,0.012195,0.520833,0.017632,0.013093,0.012862,0.102941,0.002649,0.0,0.004032,1
7,0.02439,0.025157,0.076923,0.0125,0.020649,0.02459,0.021277,0.230769,0.017241,0.166667,0.032258,0.731183,0.026471,0.068966,0.67,0.043165,0.055556,0.082996,0.135233,0.00527,0.034234,0.047146,0.095238,0.00527,0.032938,0.742268,0.030769,0.02459,0.028455,0.1875,0.04534,0.0491,0.064309,0.264706,0.037086,0.34756,0.03629,0
8,0.04878,0.0,0.038462,0.075,0.014749,0.0,0.0,0.134615,0.0,0.0,0.0,0.462366,0.005882,0.0,0.0,0.016787,0.055556,0.079125,0.054898,0.001117,0.014414,0.022333,0.238095,0.001117,0.013901,0.484536,0.0,0.0,0.00813,0.083333,0.016373,0.027005,0.032154,0.147059,0.031788,0.637147,0.024194,1
9,0.067073,0.050314,0.038462,0.175,0.014749,0.065574,0.042553,0.211538,0.068966,0.0,0.016129,0.27957,0.061765,0.0,0.0,0.05036,0.055556,0.145209,0.250986,0.025795,0.095495,0.132506,0.047619,0.025795,0.09546,0.14433,0.061538,0.065574,0.069106,0.166667,0.151134,0.121113,0.109325,0.235294,0.064901,0.574169,0.068548,1
