,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Defective
0,0.04878,0.333333,0.0,0.032432,0.055944,0.002071,0.01087,0.15625,0.051948,1.0,0.026,0.0,0.0,0.896552,0.5,0.0,0.0,0.072589,0.038462,0.115385,1
1,0.073171,0.5,0.0,0.113514,0.230769,0.005178,0.005435,0.65625,0.025974,1.0,0.176,0.0,0.0,0.8,0.5,0.666667,0.25,0.373942,0.038462,0.102569,1
2,0.02439,0.5,0.0,0.016216,0.048951,0.000345,0.0,0.09375,0.012987,1.0,0.024,0.0,0.0,0.833333,0.666667,0.333333,0.125,0.145178,0.038462,0.076923,1
3,0.317073,0.166667,0.04,0.054054,0.328671,0.0,0.027174,0.15625,0.311688,0.04,0.236,1.0,0.142857,0.0,0.258242,0.0,0.0,0.106091,0.076923,0.153846,1
4,0.04878,0.5,0.0,0.021622,0.132867,0.002071,0.005435,0.125,0.038961,1.0,0.062,0.0,0.0,0.888889,0.375,0.333333,0.125,0.191371,0.038462,0.076923,1
5,0.097561,0.5,0.0,0.032432,0.090909,0.004833,0.01087,0.1875,0.103896,0.333334,0.07,1.0,0.0,0.909091,0.35,0.333333,0.125,0.097335,0.038462,0.134615,1
6,0.158537,0.333333,0.0,0.097297,0.783217,0.026234,0.016304,0.53125,0.012987,0.4375,1.0,1.0,0.142857,0.4,0.272727,0.333333,0.125,1.0,0.384615,0.804738,1
7,0.158537,0.166667,0.0,0.356757,0.090909,0.026924,0.358696,0.03125,0.168831,1.0,0.013,0.0,0.0,0.0,0.369231,0.0,0.0,0.0,0.038462,0.153846,0
8,0.02439,0.166667,0.0,0.021622,0.020979,0.0,0.01087,0.0625,0.025974,0.0,0.012,1.0,0.142857,0.0,0.75,0.0,0.0,0.059391,0.038462,0.076923,1
9,0.073171,0.5,0.0,0.07027,0.125874,0.004487,0.005435,0.40625,0.051948,0.4,0.076,1.0,0.0,0.8,0.333333,0.333333,0.125,0.151777,0.038462,0.102569,1
